Munic_Id;year;MunicOP_OP;UF_Id;Munic_Id6;Munic_Nome;lag.pb;MunicOP_OP.Acum;population;MayorElecNumber;MayorParty;MayorName;ptwin;ChangeEffect2002;VictoryPTAfter2002;LeftParty;continuitypartpref;ContinuityMayor;MayorsVulnerability;legprefpower;MayorControlCouncil;CoalitionPref;LeftShare;BudgetPP;Investpp;InvestPer;taxrevenues;TransferDep;balsheetrev;YearDummies1996;YearDummies2000;YearDummies2004;YearDummies2008;YearDummies2012;YearDummies2016
2402600;2016;0;24;240260;CEAR¡-MIRIM;0;0;73370;22;PR;ANTONIO MARCOS DE ABREU PEIXOTO;0;1;0;0;1;1;0,94261908504952;0,153846153846154;0;0,384615384615385;0,153846153846154;1592,85228073988;89,4976836133655;0,0555240124265549;0,0897429880920562;0,758505171252138;0,886874506779934;0;0;0;0;0;1
2403251;1992;0;24;240325;PARNAMIRIM;0;0;64493;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2403251;1996;0;24;240325;PARNAMIRIM;0;0;79643,5;;;;;;;;;;;;;;;723,586559053853;161,77831635933;0,221099799159373;0,116096953565857;0,818036266244586;1,08021176684976;1;0;0;0;0;0
2403251;2000;0;24;240325;PARNAMIRIM;0;0;99372;11;PPB;RAIMUNDO MARCIANO DE FREITAS;0;0;0;0;0;0;0,937122442351413;0,285714285714286;0;;0,142857142857143;688,689497490532;81,3133348437165;0,119689628198718;0,123001082627639;0,81966014783093;0,912582596621221;0;1;0;0;0;0
2403251;2004;0;24;240325;PARNAMIRIM;0;0;156181;15;PMDB;AGNELO ALVES;0;1;0;0;0;0;0,576433121019108;0,333333333333333;0;0,533333333333333;;993,247230572159;168,04046901947;0,165722858836684;0,146030956483249;0,80010308710668;1,01330394024067;0;0;1;0;0;0
2403251;2008;0;24;240325;PARNAMIRIM;0;0;178819;40;PSB;AGNELO ALVES;0;1;0;1;0;1;0,223179723502304;0,333333333333333;0;0,75;0,583333333333333;1469,50745457385;337,638091505132;0,233914997610457;0,153370332638776;0,822952314207488;1,01722721643336;0;0;0;1;0;0
2403251;2012;0;24;240325;PARNAMIRIM;0;0;214199;12;PDT;MAUR√çCIO MARQUES DOS SANTOS;0;1;0;1;0;0;0,925044165895516;0,166666666666667;0;0,583333333333333;0,333333333333333;1711,52822088853;212,183255641645;0,112341073097572;0,158640584113154;0,808246869990891;1,0551358272585;0;0;0;0;1;0
2403251;2016;0;24;240325;PARNAMIRIM;0;0;248623;12;PDT;MAUR√çCIO MARQUES DOS SANTOS;0;1;0;1;1;1;0,708751892115041;0,111111111111111;0;0,777777777777778;0,222222222222222;1589,24071823687;113,441011590048;0,0695807731757681;0,187931536494866;0,716792616491828;0,909580225337019;0;0;0;0;0;1
2407104;1992;0;24;240710;MACAÕBA;0;0;44254;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0
2407104;1996;0;24;240710;MACAÕBA;0;0;47381;;;;;;;;;;;;;;;325,370636934887;40,5331715490437;0,194752543742433;0,04646614107381;0,90564496078905;1,0525979502735;1;0;0;0;0;0
